descripcion;precio;ppund
RON BACARDI MOJITO 750ML;$ 43.650;PUM: 58.2 por mililitro
RON BACARDI BLANCO 750ML;$ 57.690;PUM: 76.92 por mililitro
VODKA ABSOLUT 700C;$ 82.490;PUM: 117.84 por mililitro
TEQUILA JOSE CUERVO 750C TRADICIONAL;$ 89.990;PUM: 119.99 por mililitro
TEQUILA JOSE CUERVO 750C ESPEC SILVER;$ 90.850;PUM: 121.13 por mililitro
TEQUILA JIMADOR 750C REPOSADO;$ 105.650;PUM: 140.87 por mililitro
TEQUILA JIMADOR 375C REPOSADO;$ 61.390;PUM: 163.71 por mililitro
TEQUILA G/CENTENARIO 695ML ANEJO;$ 158.790;PUM: 228.47 por mililitro
TEQUILA DON JULIO 700C REPOSADO;$ 270.350;PUM: 386.21 por mililitro
TEQUILA DON JULIO 700C ANEJO RESERVA;$ 298.350;PUM: 426.21 por mililitro
TEQUILA 1800 750C REPOSADO;$ 220.350;PUM: 293.8 por mililitro
TEQUILA 1800 750C ANEJO;$ 244.550;PUM: 326.07 por mililitro
WHISKY OLDPARR 500C 12 ANOS;$ 98.250;PUM: 196.5 por mililitro
GINEBRA TANQUERAY 750M TEN GIN;$ 244.500;PUM: 326 por mililitro
WHISKY JACK DANIELS 750C HONEY;$ 112.790;PUM: 150.39 por mililitro
WHISKY JACK DANIELS 750C FIRE;$ 113.050;PUM: 150.73 por mililitro
WHISKY JACK DANIELS 350ML;$ 64.300;PUM: 183.71 por mililitro
GINEBRA GREENALS 750C;$ 78.950;PUM: 105.27 por mililitro
WHISKY JOHNNY WALKER 1000C RED LABEL;$ 96.290;PUM: 96.29 por mililitro
WHISKY JOHNNY WALKER 700C RED LABEL;$ 79.990;PUM: 114.27 por mililitro
WHISKY JOHNNY WALKER 375C RED LABEL;$ 47.050;PUM: 125.47 por mililitro
WHISKY JOHNNY WALKER 700C BLACK LABEL;$ 150.900;PUM: 215.57 por mililitro
WHISKY JOHNNY WALKER 375C BLACK LABEL;$ 79.090;PUM: 79090 por
WHISKY CHIVAS REGAL 700C EXTRA;$ 148.400;PUM: 212 por mililitro
WHISKY CHIVAS REGAL 700C 18 ANOS;$ 339.850;PUM: 485.5 por mililitro
WHISKY BUCHANANS 750C MASTER;$ 190.850;PUM: 254.47 por mililitro
